#JCAT	Piece	Name	LDate	GDate	ODate	Period	Perigee	PF	Apogee	AF	Inc	IF	OType	Longitude	DriftRate	TDate	TF	Flags
# Updated 2026 Jul 17 2058:25
S04376	1970-032A	INTELSAT III F-7	1970 Apr 23	1970 Apr 24 2019	2026 Jul 16 0103	    1435.641 	   35768.5 	 	   35786.9 	 	  2.50 	 	GEO/S	137.13E	 +   0.107E	1972 May?	P	-
S04418	1970-046A	OPS 5346	1970 Jun 19	1970 Jun 19?    	2021 May 31 2153	    1436.212 	   35746.2 	 	   35831.5 	 	  2.47 	 	GEO/S	 64.82E	 +   0.036W	1978?	P	-
S04478	1970-055A	INTELSAT III F-8	1970 Jul 23	1970 Jul 25 0223	2026 Jul 16 1923	    1408.117 	   33910.4 	 	   36563.9 	 	  5.53 	 	GEO/ID	161.55W	 +   7.166E	1970 Jul 25	P	-
S04510	1970-069A	OPS 7329	1970 Sep  1	1970 Sep  1 0800	2026 Jul 17 0039	    1437.651 	   31565.1 	 	   40068.9 	 	 10.65 	 	GEO/NS	134.28W	 +   0.397W	1977?	P	-
S27787	1970-069B	Agena D 2803?	1970 Sep  1	1970 Sep  1 0800	2026 Jul 16 1413	    1415.858 	   30423.1 	 	   40355.9 	 	 11.72 	 	GEO/NS	 13.89W	 +   5.153E	1970 Sep  1 0100	R	-
S04881	1971-006A	INTELSAT IV F2	1971 Jan 26	1971 Jan 27 0344	2026 Jul 17 0600	    1456.958 	   36142.5 	 	   36245.3 	 	  4.27 	 	GEO/ID	 87.87W	 +   5.176W	1983 May 11	P	-
S04902	1971-009A	NATO IIB	1971 Feb  3	1971 Feb  5 0456	2026 Jul 17 0555	    1436.096 	   35772.2 	 	   35800.9 	 	  1.08 	 	GEO/S	104.75W	 +   0.007W	1983 May?	P	-
S05205	1971-039B	Transtage 20	1971 May  5	1971 May  5?    	2020 Mar 18 0507	    1433.812 	   35600.3 	 	   35883.4 	 	  4.06 	 	GEO/ID	 37.38E	 +   0.568E	1971 May  5 0743:01	R	-
S05204	1971-039A	DSP F2	1971 May  5	1971 May  5?    	2026 Jul 17 0352	    1466.959 	   36299.9 	 	   36477.2 	 	  0.43 	 	GEO/D	176.60W	 +   7.601W	1983 Jan 10	P	-
A01962	1971-039	DSP 3 Aperture Cover	1971 May  5	1971 May  6?    	1971 May  5	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1971 May  5 0743:01	C	-
S05587	1971-095A	DSCS II F-1	1971 Nov  3	1971 Nov  3?    	2026 Jul 17 0557	    1436.210 	   35768.7 	 	   35808.9 	 	  1.52 	 	GEO/S	100.11W	 +   0.036W	2020 Jan  6	P	-
S05588	1971-095B	DSCS II F-2	1971 Nov  3	1971 Nov  3?    	2026 Jul 17 0700	    1437.216 	   35798.5 	 	   35818.5 	 	  1.48 	 	GEO/D	122.89E	 +   0.288W	1980?	P	-
S05589	1971-095C	Transtage 21	1971 Nov  3	1971 Nov  3?    	2026 Jul 17 0704	    1481.647 	   35956.6 	 	   37390.5 	 	  3.20 	 	GEO/ID	137.01E	 +  11.105W	1971 Nov  3 0309:06	R	-
S05709	1971-116A	INTELSAT IV F3	1971 Dec 20	1971 Dec 21 0339	2026 Jul 16 2325	    1445.543 	   35925.2 	 	   36017.4 	 	  6.33 	 	GEO/ID	 60.63E	 +   2.366W	1984 Feb 23	P	-
S05775	1972-003A	INTELSAT IV F4	1972 Jan 23	1972 Jan 26 0032	2026 Jul 16 1716	    1442.478 	   35902.3 	 	   35920.5 	 	  6.68 	 	GEO/ID	110.89E	 +   1.604W	1983 May 10	P	-
S05854	1972-010B	Transtage 22	1972 Mar  1	1972 Mar  1?    	2026 Jul 16 1733	    1430.308 	   35404.1 	 	   35942.3 	 	  1.00 	 	GEO/D	107.38W	 +   1.454E	1972 Mar  1 0939:28	R	-
S05851	1972-010A	DSP F3	1972 Mar  1	1972 Mar  1?    	2026 Jul 17 0659	    1443.219 	   35892.2 	 	   35959.6 	 	  0.49 	 	GEO/D	119.27E	 +   1.789W	2018 Jan  8	P	-
A02097	1972-010	DSP 4 Aperture Cover	1972 Mar  1	1972 Mar  2?    	1972 Mar  1	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1972 Mar  1 0939:28	C	-
S06052	1972-041A	INTELSAT IV F5	1972 Jun 13	1972 Jun 16 0101	2026 Jul 16 1233	    1438.021 	   35810.0 	 	   35838.5 	 	  5.66 	 	GEO/ID	163.93E	 +   0.490W	1983 Jul	P	-
S06278	1972-090A	Anik A1	1972 Nov 10	1972 Nov 13 2055	2026 Jul 16 1406	    1457.086 	   36131.9 	 	   36261.0 	 	  6.13 	 	GEO/ID	145.73W	 +   5.207W	1982 Jul 15	P	-
S06317	1972-101A	OPS 9390	1972 Dec 20	1972 Dec 21 0430	2026 Jul 17 0010	    1434.854 	   30627.3 	 	   40897.2 	 	  9.05 	 	GEO/NS	121.70E	 +   0.306E	1980?	P	-
S06318	1972-101B	Agena D 2805?	1972 Dec 20	1972 Dec 21 0430	2026 Jul 16 0819	    1407.444 	   30018.9 	 	   40428.8 	 	  8.57 	 	GEO/NS	162.17E	 +   7.342E	1972 Dec 20 2220	R	-
S06380	1973-013A	OPS 6063	1973 Mar  6	1973 Mar  6?    	2026 Jul 17 0451	    1436.113 	   35701.6 	 	   35872.3 	 	  0.30 	 	GEO/S	 76.37E	 +   0.011W	1983?	P	-
S06437	1973-023A	Anik A2	1973 Apr 20	1973 Apr 24 2200	2026 Jul 17 0432	    1442.845 	   35875.7 	 	   35961.5 	 	  6.86 	 	GEO/ID	 36.27W	 +   1.696W	1982 Oct 29	P	-
S06691	1973-040A	DSP F4	1973 Jun 12	1973 Jun 12?    	2026 Jul 17 0613	    1442.535 	   35888.4 	 	   35936.6 	 	  0.86 	 	GEO/D	 42.35W	 +   1.618W	1980 Nov?	P	-
S11940	1973-040B	Transtage 24	1973 Jun 12	1973 Jun 12?    	2026 Jul 16 2138	    1446.395 	   35861.8 	 	   36114.0 	 	  0.99 	 	GEO/D	100.55E	 +   2.577W	1973 Jun 12 0714:05	R	-
A02296	1973-040	DSP 2 Aperture Cover	1973 Jun 12	1973 Jun 13?    	1973 Jun 12	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1973 Jun 12 0714:05	C	-
S06796	1973-058A	INTELSAT IV F7	1973 Aug 23	1973 Aug 25 1230	2026 Jul 17 0349	    1452.366 	   36083.8 	 	   36125.0 	 	  7.17 	 	GEO/ID	142.56E	 +   4.051W	1984 Feb 23	P	-
S06973	1973-100A	DSCS II F-3	1973 Dec 13	1973 Dec 14     	2026 Jul 16 1744	    1474.564 	   36403.6 	 	   36668.9 	 	  5.01 	 	GEO/ID	149.54W	 +   9.424W	1982?	P	-
S06974	1973-100B	DSCS II F-4	1973 Dec 13	1973 Dec 14     	2026 Jul 17 0132	    1476.629 	   36296.6 	 	   36855.9 	 	  4.60 	 	GEO/ID	162.02W	 +   9.916W	1993 Dec 17	P	-
S06976	1973-100D	Transtage 26	1973 Dec 13	1973 Dec 14     	2026 Jul 17 0639	    1515.851 	   36161.0 	 	   38506.2 	 	  6.41 	 	VHEO	 49.76E	 +  19.000W	1973 Dec 13 2357:01	R	-
S07229	1974-017A	Kosmos-637	1974 Mar 26	1974 Mar 26 2000	2026 Jul 17 0439	    1428.747 	   35482.5 	 	   35802.7 	 	  0.76 	 	GEO/D	 67.40E	 +   1.850E	1974 Mar 27	P	-
S11567	1974-017F	Blok DM  No. 1L	1974 Mar 26	1974 Mar 26 2000	2026 Jul 17 0409	    1425.651 	   35398.8 	 	   35764.9 	 	  0.63 	 	GEO/D	117.82W	 +   2.638E	1974 Mar 26 1335:00	R	-
S07250	1974-022A	Westar 1	1974 Apr 13	1974 Apr 16 2121	2026 Jul 17 0427	    1441.448 	   35874.7 	 	   35907.8 	 	  7.04 	 	GEO/ID	 54.21W	 +   1.347W	1983 Jun 15	P	-
S07298	1974-033A	SMS 1	1974 May 17	1974 May 19 0700	2026 Jul 17 0625	    1460.225 	   36196.0 	 	   36319.1 	 	  4.07 	 	GEO/ID	  2.14W	 +   5.972W	1981 Jan 29	P	-
S07318	1974-039A	ATS 6	1974 May 30	1974 May 30 1937	2026 Jul 17 0549	    1412.046 	   35188.7 	 	   35440.3 	 	  1.88 	 	GEO/D	128.01W	 +   6.141E	1979 Aug  2	P	-
S07324	1974-039C	Transtage 27	1974 May 30	1974 May 30 1937	2026 Jul 17 0531	    1429.826 	   35527.0 	 	   35800.5 	 	  2.67 	 	GEO/D	167.99E	 +   1.576E	1974 May 30 1300:01	R	-
S53647	1974-039D	deb Transtage 27	1974 May 30	2022 Aug?       	2024 Sep 29 1510	    1431.282 	   34698.7 	 	   36685.9 	 	  4.35 	 	GEO/ID	 35.84E	 +   1.207E	1974 May 30 1300:01	D	-
S07392	1974-060A	Molniya-1S	1974 Jul 29	1974 Jul 29     	2026 Jul 17 0656	    1436.129 	   35750.0 	 	   35824.4 	 	  1.31 	 	GEO/S	107.73E	 +   0.015W	1975?	P	-
S20836	1974-060F	Blok DM No. 2L	1974 Jul 29	1974 Jul 29     	2026 Jul 17 0659	    1436.399 	   35726.9 	 	   35858.2 	 	  1.29 	 	GEO/S	119.66E	 +   0.083W	1974 Jul 29 1200:00	R	-
S07466	1974-075A	Westar 2	1974 Oct 10	1974 Oct 13     	2026 Jul 16 1407	    1441.972 	   35883.7 	 	   35919.3 	 	  7.19 	 	GEO/ID	150.70E	 +   1.478W	1986 May  7	P	-
S07544	1974-093A	INTELSAT IV F8	1974 Nov 21	1974 Nov 23 2348	2026 Jul 16 1352	    1442.982 	   35906.8 	 	   35935.8 	 	  7.91 	 	GEO/ID	175.19W	 +   1.730W	1985 Aug 20?	P	-
S07547	1974-094A	Skynet IIB	1974 Nov 23	1974 Nov 25 0110	2026 Jul 17 0006	    1434.756 	   35747.2 	 	   35773.5 	 	  3.50 	 	GEO/ID	109.38E	 +   0.330E	1994?	P	-
S07578	1974-101A	Symphonie 1	1974 Dec 19	1974 Dec 21 1715	2026 Jul 17 0411	    1440.818 	   35875.7 	 	   35882.2 	 	  4.50 	 	GEO/ID	111.93W	 +   1.190W	1983 Aug  4	P	-
A02517	1974-101	Symphonie despin weight	1974 Dec 19	1974 Dec 24 0700	1974 Dec 24	    1477.956 	   35068.0 	 	   38136.0 	 	  0.65 	 	GEO/D	-	-	1974 Dec 19 0239:00	C	-
A02518	1974-101	Symphonie despin weight	1974 Dec 19	1974 Dec 24 0700	1974 Dec 24	    1477.956 	   35068.0 	 	   38136.0 	 	  0.65 	 	GEO/D	-	-	1974 Dec 19 0239:00	C	-
S07648	1975-011A	SMS 2	1975 Feb  6	1975 Feb  7 1443	2026 Jul 16 1402	    1447.003 	   35943.0 	 	   36056.6 	 	  5.40 	 	GEO/ID	151.76E	 +   2.728W	1982 Oct	P	-
S20835	1975-011F	SVM-5	1975 Feb  6	1975 Feb  7 1443	2026 Jul 17 0319	    1460.655 	   35842.3 	 	   36689.6 	 	  3.69 	 	GEO/ID	 65.38E	 +   6.076W	1975 Feb  6 2204:00	C	-
A02528	1975-011	SMS 2 VISSR Cover	1975 Feb  6	1975 Feb 11?    	1975 Feb 11	    1436.015 	   35770.0 	?	   35800.0 	?	  1.10 	?	GEO/S	-	-	1975 Feb  6 2204:00	C	-
S07790	1975-038A	Anik A3	1975 May  7	1975 May 10 1730	2026 Jul 17 0251	    1439.122 	   35842.7 	 	   35848.9 	 	  7.63 	 	GEO/ID	 31.55W	 +   0.766W	1984 Nov 23	P	-
S07815	1975-042A	INTELSAT IV F1	1975 May 22	1975 May 24 2245	2026 Jul 16 0619	    1450.758 	   36022.0 	 	   36124.2 	 	  8.19 	 	GEO/ID	 82.85W	 +   3.655W	1987 Oct 27	P	-
S07963	1975-055A	OPS 4966	1975 Jun 18	1975 Jun 18 1600	2020 Aug  4 1819	    1434.650 	   29961.4 	 	   41555.1 	 	 15.58 	 	GEO/NS	 59.85E	 +   0.357E	1982?	P	-
S07964	1975-055B	Agena D 2806?	1975 Jun 18	1975 Jun 18 1600	2026 Jul 16 1152	    1410.509 	   30320.2 	 	   40248.3 	 	  9.53 	 	GEO/NS	119.70E	 +   6.541E	1975 Jun 18 0900:00	R	-
S08132	1975-077A	Symphonie 2	1975 Aug 27	1975 Aug 29 1548	2026 Jul 16 2149	    1440.609 	   35863.7 	 	   35886.0 	 	  3.96 	 	GEO/ID	 74.11E	 +   1.138W	1985	P	-
A02601	1975-077	Symphonie despin weight	1975 Aug 27	1975 Aug 29     	1975 Aug 29	    1436.118 	   35768.0 	 	   35806.0 	 	  0.20 	 	GEO/S	-	-	1975 Aug 27 0142:00	C	-
A02602	1975-077	Symphonie despin weight	1975 Aug 27	1975 Aug 29     	1975 Aug 29	    1436.118 	   35768.0 	 	   35806.0 	 	  0.20 	 	GEO/S	-	-	1975 Aug 27 0142:00	C	-
S08330	1975-091A	INTELSAT IVA F1	1975 Sep 26	1975 Sep 27 0317	2026 Jul 17 0607	    1441.061 	   35863.0 	 	   35904.5 	 	  7.81 	 	GEO/ID	 65.12W	 +   1.251W	1986 Jul 24	P	-
S08357	1975-097A	Kosmos-775	1975 Oct  8	1975 Oct  8 0700	2026 Jul 17 0453	    1436.278 	   35741.8 	 	   35838.5 	 	  2.29 	 	GEO/S	 35.51E	 +   0.053W	1978 Sep  5	P	-
S11676	1975-097F	Blok DM No. 4L	1975 Oct  8	1975 Oct  8 0700	2026 Jul 17 0529	    1438.008 	   35730.6 	 	   35917.4 	 	  2.28 	 	GEO/D	161.33E	 +   0.487W	1975 Oct  8 0030:00	R	-
S08366	1975-100A	GOES 1	1975 Oct 16	1975 Oct 17 1451	2026 Jul 17 0549	    1436.063 	   35770.1 	 	   35801.7 	 	  4.53 	 	GEO/I	128.88W	 +   0.001E	1985 Feb	P	-
S20962	1975-100F	SVM-5	1975 Oct 16	1975 Oct 17 1451	2026 Jul 16 2332	    1412.718 	   34210.6 	 	   36444.8 	 	  2.24 	 	GEO/D	 36.76W	 +   5.967E	1975 Oct 16 2240:00	C	-
A02621	1975-100	GOES 1 VISSR Cover	1975 Oct 16	1975 Oct 20?    	1975 Oct 20	    1436.015 	   35770.0 	?	   35800.0 	?	  1.10 	?	GEO/S	-	-	1975 Oct 16 2240:00	C	-
S08482	1975-118A	DSP F5	1975 Dec 14	1975 Dec 14 1145	2026 Jul 17 0656	    1433.066 	   35592.2 	 	   35862.3 	 	  2.22 	 	GEO/D	107.88E	 +   0.756E	1975 Dec	P	-
S08516	1975-118C	Transtage 29	1975 Dec 14	1975 Dec 14 1145	2026 Jul 16 0931	    1432.420 	   35663.8 	 	   35765.3 	 	  2.20 	 	GEO/D	179.50W	 +   0.920E	1975 Dec 14 0515:00	R	-
S08517	1975-118D	DSP 8 Aperture Cover	1975 Dec 14	1975 Dec 15?    	1975 Dec 15	    1436.015 	   35780.0 	?	   35790.0 	?	  1.00 	?	GEO/S	-	-	1975 Dec 14 0515:00	C	-
S08476	1975-117A	Satcom 1	1975 Dec 13	1975 Dec 15 2241	2026 Jul 16 2034	    1445.821 	   35915.5 	 	   36038.0 	 	  7.93 	 	GEO/ID	 86.86E	 +   2.435W	1984 Jun  8	P	-
S08513	1975-123A	Raduga	1975 Dec 22	1975 Dec 22 1930	2026 Jul 17 0502	    1436.365 	   35771.9 	 	   35811.8 	 	  2.73 	 	GEO/S	 67.71E	 +   0.075W	1978 Jul?	P	-
S11568	1975-123F	Blok DM  No. 3L	1975 Dec 22	1975 Dec 22 1930	2026 Jul 17 0559	    1432.676 	   35658.5 	 	   35780.7 	 	  2.47 	 	GEO/D	 91.61W	 +   0.855E	1975 Dec 22 1300:00	R	-
S08585	1976-004A	Hermes	1976 Jan 17	1976 Jan 20 2041	2026 Jul 17 0549	    1436.882 	   35739.3 	 	   35864.6 	 	  3.85 	 	GEO/ID	128.93W	 +   0.205W	1979 Dec  8	P	-
S39688	1976-004E	CTS JBSA	1976 Jan 17	1976 Feb  1     	2026 Jul 16 0806	    1435.472 	   35555.6 	 	   35993.2 	 	  3.16 	 	GEO/ID	102.15W	 +   0.150E	1976 Jan 17 2327:54	C	-
S39689	1976-004F	CTS JBSA	1976 Jan 17	1976 Feb  1     	2026 Jul 16 0356	    1436.510 	   35290.4 	 	   36299.0 	 	  3.19 	 	GEO/ID	 86.57W	 +   0.111W	1976 Jan 17 2327:54	C	-
S08620	1976-010A	INTELSAT IVA F2	1976 Jan 29	1976 Jan 31 0100	2026 Jul 16 1643	    1444.515 	   35926.5 	 	   35975.9 	 	  7.84 	 	GEO/ID	114.48E	 +   2.111W	1985 Dec 19	P	-
S08697	1976-017A	Marisat 101	1976 Feb 19	1976 Feb 21 1332	2026 Jul 17 0557	    1451.555 	   36037.5 	 	   36139.8 	 	  5.76 	 	GEO/ID	 99.07W	 +   3.851W	1997 Apr  2	P	-
S08751	1976-023F	Transtage 30	1976 Mar 15	1976 Mar 15 0805	2026 Jul 16 2317	    1464.523 	   35817.9 	 	   36864.5 	 	 21.92 	 	GEO/ID	 61.95W	 +   7.014W	1976 Mar 15 0125:40	R	-
S08746	1976-023A	LES 8	1976 Mar 15	1976 Mar 15 0805	2026 Jul 16 1425	    1436.149 	   35652.1 	 	   35923.1 	 	 22.45 	 	GEO/I	106.36W	 +   0.020W	2004 Jun  2	P	-
S08747	1976-023B	LES 9	1976 Mar 15	1976 Mar 15 0805	2026 Jul 16 1225	    1436.096 	   35686.8 	 	   35886.4 	 	 22.41 	 	GEO/I	101.60W	 +   0.007W	2020 May 20	P	-
S08748	1976-023C	SR 11A	1976 Mar 15	1976 Mar 15 0805	2026 Jul 19 1956	    7318.002 	  117688.9 	 	  119274.0 	 	 14.66 	 	VHEO	  3.12W	-	1976 Mar 16 	P	D
S08749	1976-023D	SR 11B	1976 Mar 15	1976 Mar 15 0805	2016 Sep  5 0807	    7702.968 	  118376.1 	 	  127269.5 	 	 38.39 	 	VHEO	105.34W	-	1976 Mar 16 	P	D
S08832	1976-023J	P74-1 Upper Truss Assembly	1976 Mar 15	1976 Mar 15 0805	2026 Jul 16 2318	    1465.500 	   35764.3 	 	   36956.0 	 	 21.91 	 	GEO/ID	 56.88W	 +   7.250W	1976 Mar 15 0125:40	C	-
S13753	1976-023K	P74-1 truss part	1976 Mar 15	1976 Mar 15 0805	2026 Jul 17 0239	    1420.941 	   35477.2 	 	   35501.6 	 	  4.75 	 	GEO/ID	127.65E	 +   3.843E	1976 Mar 15 0125:40	C	-
S08774	1976-029A	Satcom 2	1976 Mar 26	1976 Mar 29 1930	2026 Jul 16 2253	    1460.106 	   36013.6 	 	   36496.9 	 	  8.86 	 	GEO/ID	 30.75E	 +   5.943W	1985 Jan 17	P	-
S08808	1976-035A	NATO 3A	1976 Apr 22	1976 Apr 24 2031	2026 Jul 16 2346	    1442.288 	   35802.0 	 	   36013.3 	 	  4.91 	 	GEO/ID	 38.75E	 +   1.557W	1992 Dec 17	P	-
S08838	1976-042A	Comstar 201	1976 May 13	1976 May 15 2242	2026 Jul 17 0516	    1442.556 	   35898.2 	 	   35927.7 	 	  7.91 	 	GEO/ID	116.71E	 +   1.623W	1984 Oct 26	P	-
S08882	1976-053A	Marisat 103	1976 Jun 10	1976 Jun 12 0030	2026 Jul 16 1407	    1501.556 	   36486.6 	 	   37630.0 	 	  7.66 	 	VHEO	167.90E	 +  15.744W	1996 Sep 25	P	-
S08916	1976-059A	DSP F6	1976 Jun 26	1976 Jun 26 0930	2026 Jul 17 0556	    1447.680 	   35995.3 	 	   36030.7 	 	  3.27 	 	GEO/ID	102.75W	 +   2.895W	1985 Mar  6	P	-
S08918	1976-059C	Transtage 28	1976 Jun 26	1976 Jun 26 0930	2026 Jul 16 1139	    1432.364 	   35675.5 	 	   35751.5 	 	  2.66 	 	GEO/D	151.63E	 +   0.934E	1976 Jun 26 0300:01	R	-
S08919	1976-059D	DSP 7 Aperture Cover	1976 Jun 26	1976 Jun 27?    	1976 Jul  1	    1431.675 	   35600.0 	?	   35800.0 	?	  1.00 	?	GEO/D	-	-	1976 Jun 26 0300:01	C	-
S09009	1976-066A	Palapa A1	1976 Jul  8	1976 Jul 11 2030	2026 Jul 16 2342	    1438.661 	   35818.9 	 	   35854.7 	 	  7.83 	 	GEO/ID	 25.71E	 +   0.650W	1986?	P	-
S09047	1976-073A	Comstar 202	1976 Jul 22	1976 Jul 24 2212	2026 Jul 17 0608	    1440.312 	   35866.3 	 	   35871.9 	 	  7.86 	 	GEO/ID	 59.10W	 +   1.064W	1993 Dec 19	P	-
S09416	1976-092A	Raduga	1976 Sep 11	1976 Sep 12 0100	2026 Jul 17 0356	    1435.789 	   35663.6 	 	   35897.5 	 	  3.40 	 	GEO/I	 68.45E	 +   0.070E	1980 May?	P	-
S17872	1976-092F	Blok DM No. 5L	1976 Sep 11	1976 Sep 12 0100	2026 Jul 17 0317	    1436.668 	   35729.6 	 	   35865.9 	 	  3.39 	 	GEO/ID	 61.15E	 +   0.151W	1976 Sep 11 1824:00	R	-
S09478	1976-101A	Marisat 102	1976 Oct 14	1976 Oct 17 0013	2026 Jul 16 1423	    1475.520 	   36110.9 	 	   36998.7 	 	  5.78 	 	GEO/ID	164.26E	 +   9.652W	2008 Oct 29	P	-
